target_idx,sentence,pred,prob,true_label,context_idx
65776,lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded . ,1.0,0.9994706511497498,1,[58632]
14146,"sensitive , smart , savvy , compelling coming-of-age drama ",1.0,0.9997460246086121,1,[58632]
52191,all the comic possibilities of its situation ,1.0,0.9994146823883057,1,[58632]
813,us a slice of life that 's very different from our own and yet instantly recognizable ,1.0,0.999362051486969,1,[58632]
8581,in alcatraz ' ... a cinematic corpse ,0.0,0.9991187453269958,0,[58632]
39696,dreadful romance ,0.0,0.9997841715812683,0,[58632]
23687,"a loud , brash and mainly unfunny high school comedy . ",0.0,0.9996652603149414,0,[58632]
16134,"a mushy , existential exploration of why men leave their families ",0.0,0.9991658926010132,0,[58632]
34430,is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics . ,1.0,0.9995447993278503,1,[58632]
25417,a shallow rumination on the emptiness of success ,0.0,0.9996044039726257,0,[58632]
15208,give it a marginal thumbs up ,1.0,0.99093097448349,1,[58632]
56954,daring and beautifully made . ,1.0,0.9996222257614136,1,[58632]
36313,should be thrown back in the river ,0.0,0.999729335308075,0,[58632]
31382,well-written and occasionally challenging social drama ,1.0,0.9997747540473938,1,[58632]
32810,character-driven storytelling ,1.0,0.9981213212013245,1,[58632]
53235,"to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting ",0.0,0.9994935989379883,0,[58632]
12568,lacks ,0.0,0.9995083808898926,0,[58632]
59428,"perception , conviction ",0.0,0.6485041379928589,1,[58632]
37091,adds an almost constant mindset of suspense ,0.0,0.9962800145149231,1,[58632]
35658,burnt out on it 's a wonderful life marathons and bored with a christmas carol ,0.0,0.9994921684265137,0,[58632]
56168,make like the title and dodge this one ,0.0,0.9859793782234192,0,[58632]
37009,dead gorgeous ,1.0,0.9997469782829285,1,[58632]
44421,might more accurately be titled mr. chips off the old block ,0.0,0.7264251708984375,0,[58632]
26827,film a must for everyone from junior scientists ,1.0,0.9991427659988403,1,[58632]
18148,an elegance and maturity ,1.0,0.9996790885925293,1,[58632]
63779,more grueling and ,0.0,0.999415397644043,0,[58632]
